X,Y
170.0,153.25
199.333,311.5
214.0,225.25
242.0,151.75
190.5,229.25
220.5,254.75
242.25,165.0
126.667,252.833
199.75,219.0
153.75,165.25
114.0,186.167
199.5,230.5
242.0,290.16
179.75,160.5
154.5,176.5
165.75,177.0
191.5,255.75
224.0,304.83
187.0,266.25
230.5,153.5
207.25,248.5
256.25,153.25
182.25,223.75
232.5,253.25
177.5,172.75
179.25,261.5
267.75,158.0
199.75,205.25
122.0,226.833
140.5,152.75
218.75,250.75
174.0,304.83299999999997
143.0,171.5
258.5,275.25
156.0,291.5
219.5,158.75
118.667,210.833
222.5,173.0
199.75,191.5
251.75,172.0
279.5,190.75
181.75,255.0
222.75,260.0
276.75,168.75
243.75,176.5
201.25,265.5
206.0,228.25
278.25,208.5
130.5,158.5
170.25,254.25
137.5,276.25
199.5,251.0
214.25,265.75
155.25,150.0
114.667,169.5
164.25,164.5
182.5,251.25
277.5,232.0
210.75,255.5
199.75,256.5
199.75,174.75
274.0,254.75
232.75,164.75
233.25,176.75
189.5,248.0
